transaction_count,unique_actions,days_active,avg_daily_transactions,total_deposits,total_borrows,total_repays,total_redeems,avg_deposit_size,avg_borrow_size,avg_repay_size,deposit_count,borrow_count,repay_count,redeemunderlying_count,liquidationcall_count,liquidation_count,total_volume,repay_ratio,borrow_deposit_ratio,activity_diversity,userWallet,credit_score
2,1,21,0.09523809523809523,6240750099327031.0,0.0,0.0,0.0,3120375049663515.5,0.0,0.0,2,0,0,0,0,0,0.0,0.0,0.0,0.2,0x001be549fa377710b9e59d57bbdf593ce1e379ca,609.0
2,1,10,0.2,2.0000000000000097e+18,0.0,0.0,0.0,1.0000000000000049e+18,0.0,0.0,2,0,0,0,0,0,0.0,0.0,0.0,0.2,0x001c88d92d199c9eb936ed3d6758da7c48e4d08e,609.0
1,1,1,1.0,6461144026105417.0,0.0,0.0,0.0,6461144026105417.0,0.0,0.0,1,0,0,0,0,0,0.0,0.0,0.0,0.2,0x001d2a3192a49e28cac0a7abcaa916648c62b982,607.5
1,1,1,1.0,1109087.0,0.0,0.0,0.0,1109087.0,0.0,0.0,1,0,0,0,0,0,0.0,0.0,0.0,0.2,0x001d4aa3f14b6e0019e5615e9c8eb50659061220,607.5
1,1,1,1.0,18485.0,0.0,0.0,0.0,18485.0,0.0,0.0,1,0,0,0,0,0,0.0,0.0,0.0,0.2,0x001f96b7e19a54ae45f451b0148336504d03fdcf,604.8715345173708
6,2,69,0.08695652173913043,9.189004126574749e+20,0.0,0.0,3e+20,1.83780082531495e+20,0.0,0.0,5,0,0,1,0,0,0.0,0.0,0.0,0.4,0x001fbfc5e2b56d372d642f5f1b52b5cde4584779,671.0
1,1,1,1.0,23783.0,0.0,0.0,0.0,23783.0,0.0,0.0,1,0,0,0,0,0,0.0,0.0,0.0,0.2,0x00202f8f6bb6f100241ce0726922f2bd4c7196ee,607.5
1,1,1,1.0,0.0,0.0,0.0,2012030942630.0,0.0,0.0,0.0,0,0,0,1,0,0,0.0,0.0,0.0,0.2,0x0020c5222a24e4a96b720c06b803fb8d34adc0af,457.5
2,1,7,0.2857142857142857,1.1352405889685976e+18,0.0,0.0,0.0,5.676202944842988e+17,0.0,0.0,2,0,0,0,0,0,0.0,0.0,0.0,0.2,0x0021be1d33a577bf5ede730a6b5d5d9f878ba7e4,609.0
1,1,1,1.0,4440486156185637.0,0.0,0.0,0.0,4440486156185637.0,0.0,0.0,1,0,0,0,0,0,0.0,0.0,0.0,0.2,0x00222d56e0509a5e9ab05c588c548290a5e9f876,607.5
1,1,1,1.0,1.5e+18,0.0,0.0,0.0,1.5e+18,0.0,0.0,1,0,0,0,0,0,0.0,0.0,0.0,0.2,0x002379916ac42a432f3b53f16782d33267debb4c,607.5
2,1,6,0.3333333333333333,2200000.0,0.0,0.0,0.0,1100000.0,0.0,0.0,2,0,0,0,0,0,0.0,0.0,0.0,0.2,0x0023aa0d5d1675d6ccbe0aff5d6afdd0bc61d2be,609.0
2,1,1,2.0,14997724.0,0.0,0.0,0.0,7498862.0,0.0,0.0,2,0,0,0,0,0,0.0,0.0,0.0,0.2,0x0023d9ffe7d793895c5da5833d56c737832ead2b,609.0
1,1,1,1.0,4999194.0,0.0,0.0,0.0,4999194.0,0.0,0.0,1,0,0,0,0,0,0.0,0.0,0.0,0.2,0x0023e0f24acc95e838f76f81ab3d69e40b9b1933,607.5
2,1,2,1.0,1.2625001510457944e+16,0.0,0.0,0.0,6312500755228972.0,0.0,0.0,2,0,0,0,0,0,0.0,0.0,0.0,0.2,0x0023f4cbb5d47ef377af97fc5c7399b62e31e0ff,609.0
1,1,1,1.0,0.0,0.0,0.0,1012775168.0,0.0,0.0,0.0,0,0,0,1,0,0,0.0,0.0,0.0,0.2,0x0024461e7a8ce7157866eaa4c24b702d328250ce,457.5
1,1,1,1.0,2.5e+16,0.0,0.0,0.0,2.5e+16,0.0,0.0,1,0,0,0,0,0,0.0,0.0,0.0,0.2,0x0024511a019f836ddd88902bb516b4f0b3a2dcf9,607.5
44,4,22,2.0,3.0379081544958256e+21,2.3568e+21,2.3593073098584406e+21,3.0388794748478696e+21,1.0126360514986086e+20,2.6186666666666666e+20,1.1796536549292203e+21,30,9,2,3,0,0,7.754015464354266e+21,1.001063861956229,0.7757969892908553,0.8,0x00246f7813397868b1beec56e1677efa47816dae,890.0
1,1,1,1.0,1e+17,0.0,0.0,0.0,1e+17,0.0,0.0,1,0,0,0,0,0,0.0,0.0,0.0,0.2,0x0025a856d01a898bd52286d56c52323b13937b65,607.5
2,2,1,2.0,3.42e+16,5000000000000000.0,0.0,0.0,3.42e+16,5000000000000000.0,0.0,1,1,0,0,0,0,0.0,0.0,0.14619883040935672,0.4,0x00261d225db379b3fc74cd0228d6f90582d39035,615.0
10,4,4,2.5,101169192.0,57074003.0,57090279.0,101180778.0,25292298.0,19024667.666666668,57090279.0,4,3,1,2,0,0,215333474.0,1.0002851736192395,0.5641441022875817,0.8,0x00262ffcfda82b5582d1905ca05b849f196b0419,839.0
1,1,1,1.0,450246121481307.0,0.0,0.0,0.0,450246121481307.0,0.0,0.0,1,0,0,0,0,0,0.0,0.0,0.0,0.2,0x0026bc865efa2fb74d18c3be5a77c780756e50e6,607.5
1,1,1,1.0,1851978.0,0.0,0.0,0.0,1851978.0,0.0,0.0,1,0,0,0,0,0,0.0,0.0,0.0,0.2,0x002729e3173b9fc6abcf03eb2d754b0e2ae4edbd,607.5
1,1,1,1.0,9.7e+16,0.0,0.0,0.0,9.7e+16,0.0,0.0,1,0,0,0,0,0,0.0,0.0,0.0,0.2,0x002761f50e9c9e98e4ca367ef215f3643eec9dd9,607.5
